Ensembl Gene ID,Gene Symbol,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good,GBM44_poor,GBM5_good,Description
ENSG00000116459,ATP5F1,44,59.41,59.75,64.85,38.38,54.52,21.47,34.37,70.48,9.97,39.12,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1 [Source:HGNC Symbol;Acc:HGNC:840]"
ENSG00000104765,BNIP3L,4.95,8.46,4.58,8.92,4,9.29,0.72,2.82,4.17,1.78,5.94,BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]
ENSG00000158402,CDC25C,1.63,1.55,1.9,3.53,1.67,1.49,0.21,0.65,1.26,0,1.02,cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]
ENSG00000090266,NDUFB2,12.22,21.15,15.8,24.5,20.47,23.8,4.32,18.37,24.02,3.4,18.62,NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]
ENSG00000238358,RP5-1121E10.2,1.28,1.3,0.52,1.32,0.84,0.68,0,0.35,0.44,0,1.44,NA
ENSG00000230910,RP3-525N10.2,17.04,17.96,26.42,34.3,9.26,9.08,4.37,0.45,7.63,0,11.28,NA
ENSG00000117054,ACADM,4.82,7.61,8.88,8.39,4.21,6.57,1.57,3.46,5.33,1.41,4.93,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]"
ENSG00000263198,RP11-517A5.4,10.86,5.27,1.6,16.37,12.12,3.58,0,3.25,5.52,7.54,12.62,NA
ENSG00000263637,RP11-106E15.1,1.39,1.49,8.46,4.78,2.29,2.68,0,0.43,0.21,0,3.32,NA
ENSG00000256124,LINC01152,0.64,2.31,0.15,0.8,0.77,6.65,0,1.41,1.25,1.17,0.5,long intergenic non-protein coding RNA 1152 [Source:HGNC Symbol;Acc:HGNC:16752]
ENSG00000047410,TPR,12.21,23.31,23.89,25.17,26.67,12.65,6.65,10.66,7.59,2.86,24.96,"translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]"
ENSG00000268059,AL441883.1,33.02,41.71,33.14,51.78,42.69,53.82,12.29,39.09,37.09,10.09,34.43,NA
ENSG00000132485,ZRANB2,19.76,50.81,50.33,53.07,55.73,28.59,17.5,22.28,53.73,5.5,36.68,zinc finger RANBP2-type containing 2 [Source:HGNC Symbol;Acc:HGNC:13058]
ENSG00000162972,C2orf47,0.94,1.38,1.05,1.62,1.3,1.33,0,1.44,1.6,0,1.28,chromosome 2 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:26198]
ENSG00000253899,RP11-613H2.2,14.86,17.28,20.48,19.22,18.77,25.26,439.64,13.28,20.99,494.15,13.55,NA
ENSG00000145782,ATG12,15.72,32.03,28.61,35.76,39.3,26.46,6.88,19.54,24.12,3.63,19.87,autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]
ENSG00000235231,AP000351.10,9.15,1.09,2,6.53,3.85,3.89,0,0,0.13,0,6.97,NA
ENSG00000186301,MST1P2,7.49,5.58,7.06,1.92,6.66,5.46,3.42,0.21,1.01,0,55.01,macrophage stimulating 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:7383]
ENSG00000138587,MNS1,1.37,4.26,4.21,2.85,2.25,3.07,0.13,0.89,1.49,0.68,1.78,meiosis specific nuclear structural 1 [Source:HGNC Symbol;Acc:HGNC:29636]
ENSG00000163629,PTPN13,0.78,4.15,3.91,4.24,3.47,3.42,0.63,1.53,2.78,0.18,9.97,"protein tyrosine phosphatase, non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]"
ENSG00000196961,AP2A1,16.07,24.85,16.85,14.51,21.6,19.62,7.85,1.92,6.86,2.22,18.29,adaptor related protein complex 2 alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:561]
ENSG00000172731,LRRC20,3.93,1.2,4.56,2.1,0.97,4.03,0.26,0.21,0.54,0.3,1.03,leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]
ENSG00000174442,ZWILCH,2.51,6.04,19.74,4.86,7.29,5.77,2.71,6.87,8.16,1.11,7.39,zwilch kinetochore protein [Source:HGNC Symbol;Acc:HGNC:25468]
ENSG00000171155,C1GALT1C1,18.21,21.67,23.97,26.13,26.43,17.92,2.54,28.84,39.32,4.55,18.9,C1GALT1 specific chaperone 1 [Source:HGNC Symbol;Acc:HGNC:24338]
ENSG00000168765,GSTM4,10.07,17.67,26.61,10.94,11.87,8.69,11.75,8.08,34.5,4.73,12.97,glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]
ENSG00000215014,AL645728.1,1.02,0.4,3.97,6.33,3.02,2.63,0,0.49,0.93,0,3.58,NA
ENSG00000271228,CTC-336P14.1,3.72,5.27,2.19,3.01,6.59,2.6,0,1.43,2.43,0,4.23,NA
ENSG00000161638,ITGA5,4.21,17.15,12.44,0.94,18.78,2.02,2.51,8.84,16.31,3.48,0.1,integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]
ENSG00000136149,RPL13AP25,5.01,7.73,4.57,10.18,9.61,3.53,0,6.33,9.33,0,10.29,ribosomal protein L13a pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:36981]
ENSG00000181638,ZFP41,7.17,10.77,6.95,8.25,15.03,11.63,2.09,0.7,0.99,0.94,11.03,ZFP41 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:26786]
ENSG00000157514,TSC22D3,2.39,2.91,8.3,1.9,5.97,0.68,0.86,3.87,6.93,0.15,2.7,TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]
ENSG00000126814,TRMT5,18.72,27.95,12.24,30.7,14.37,24.21,2.79,11.65,21.4,2,29.83,tRNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:23141]
ENSG00000230409,TCEA1P2,28.27,68.2,151.14,48.38,37.49,70.32,11.03,34.64,22.57,14.81,74.46,transcription elongation factor A1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29891]
ENSG00000252652,Y_RNA,0.7,1.41,1.4,2.3,5.83,0,0,0,0.78,0,1.75,Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000258738,RP11-73E17.2,15.27,27.97,20.3,44.4,9.66,22.5,10.45,5.7,7.17,4.68,31.79,NA
ENSG00000211644,IGLV1-51,3.04,0.4,0.93,2.6,3.44,1.34,0,0.19,0.69,0,5.36,immunoglobulin lambda variable 1-51 [Source:HGNC Symbol;Acc:HGNC:5882]
ENSG00000223723,BX842568.2,1.75,2.58,2.6,1.19,1.94,1.69,0,1.02,1.52,0,0.99,NA
ENSG00000060982,BCAT1,5.5,23.6,23.76,1.62,15.48,13.61,1.6,11.75,10.52,3.01,4.21,branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]
ENSG00000247049,CTC-338M12.7,4.71,8.49,5.14,7.46,8.46,5.92,3.66,0.36,1.31,0.82,4.81,NA
ENSG00000263968,RN7SL381P,7.28,7.99,2.62,20.16,24.13,1.62,0,0.21,2.78,0,15.03,"RNA, 7SL, cytoplasmic 381, pseudogene [Source:HGNC Symbol;Acc:HGNC:46397]"
ENSG00000229502,RP11-52J3.2,2.91,2.15,2.49,3.97,4.11,4.26,0,1.83,2.83,0,4.04,NA
ENSG00000163913,IFT122,3.26,2.82,3.38,2.63,5.31,2.94,0.83,1.18,1.41,1.17,1.76,intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556]
ENSG00000269153,CTD-3193O13.10,1.25,1.7,2.24,1.37,2.59,2.84,0,0.75,2.18,0,2.92,lysophospholipase II pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50445]
ENSG00000234558,API5P1,5.46,5.42,4.39,3.95,5.24,5.81,0,3.21,5.73,3.28,8.81,apoptosis inhibitor 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:595]
ENSG00000165474,GJB2,1.54,19.05,16.25,1.86,0.88,1.05,0,370.92,323.97,1.82,0.03,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]
ENSG00000176809,LRRC37A3,0.28,1.27,1.35,1.24,1.29,2.55,0.17,1.66,0.55,0.53,0.95,leucine rich repeat containing 37 member A3 [Source:HGNC Symbol;Acc:HGNC:32427]
ENSG00000122971,ACADS,3.82,4.83,2.12,15.29,1.87,7.37,1.55,1.27,2.59,3.47,13.91,"acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:HGNC Symbol;Acc:HGNC:90]"
ENSG00000123595,RAB9A,6.37,8.74,7.55,8.1,6.65,5.03,1.55,6.93,7.84,0,5.39,"RAB9A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9792]"
ENSG00000090020,SLC9A1,1.06,2.52,2.58,1.32,2.6,1.91,0.57,0.31,0.85,0.87,1.56,solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]
ENSG00000269958,RP11-73M18.8,46.92,100.76,16.7,55.96,62.42,71.17,0,89.26,78.06,24.43,82.77,NA
ENSG00000227354,RBM26-AS1,1.22,1.16,3.05,1.01,2.15,2.56,1.23,0.42,0.35,0,1.13,RBM26 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39805]
ENSG00000234636,MED14-AS1,0.98,2.17,3.93,2.28,3.37,2.21,0,0.43,1.22,0,1.77,MED14 opposite strand [Source:HGNC Symbol;Acc:HGNC:40162]
ENSG00000225151,GOLGA2P7,4.35,4.01,7.56,9.5,15.04,2.67,1.24,0.32,1.09,0.32,1.79,golgin A2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:49516]
ENSG00000213297,ZNF625-ZNF20,2.54,6.75,3.41,3.18,5.99,3.42,0.45,1.76,3.4,0.4,2.63,ZNF625-ZNF20 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48368]
ENSG00000106009,BRAT1,16.81,54.78,40.15,35.19,51.05,37.88,16.11,3.38,8.59,5.55,27.05,BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]
ENSG00000110455,ACCS,3.15,5.61,0.09,2.11,7.31,1.61,0,0.95,7.76,1.89,2.66,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]
ENSG00000260766,RP11-226L15.5,27.42,25.83,24.52,46.62,48.84,25.64,6,13.17,11.95,0,58.44,NA
ENSG00000249835,VCAN-AS1,1.31,1.09,1.9,11.01,5.11,1.79,0.33,0.85,4.67,0.4,7.23,VCAN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40163]
ENSG00000230306,BANF1P2,5.74,1.02,2.93,1.84,5.57,2.73,0,0,0.28,0,0,barrier to autointegration factor 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23426]
ENSG00000202358,RNU6-652P,0,12,0.94,4.13,8.51,6.74,0,0.59,2.8,0,2.75,"RNA, U6 small nuclear 652, pseudogene [Source:HGNC Symbol;Acc:HGNC:47615]"
ENSG00000158201,ABHD3,0.73,5.17,2.67,4.26,2.09,2.54,1.13,1.14,1.05,0.37,2.77,abhydrolase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18718]
ENSG00000167699,GLOD4,18.15,16.82,27.39,21.46,22.12,23.77,7.67,9.8,9.52,1.18,11.55,glyoxalase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:14111]
ENSG00000182718,ANXA2,2.59,7.65,34.04,3.14,27.02,4.97,4.07,121.31,83.58,7.46,5.83,annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]
ENSG00000273007,RP11-170N16.3,1,2.57,0.59,1.11,3.41,1.51,7.8,0.5,2.15,0,2.53,NA
ENSG00000234320,RP11-381O7.6,30.17,15.56,17.08,4.26,8.49,28.78,0,0.29,6.67,0,1.83,NA
ENSG00000008128,CDK11A,4.31,7.8,10.62,14.17,9.39,6.79,3.84,2.72,5.41,0.92,10.47,cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]
ENSG00000198648,STK39,0.61,1.31,1.4,2.02,0.86,1.16,0.43,0.76,0.93,0.15,1.68,serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]
ENSG00000265806,MIR4292,120.63,75.66,41.23,132.58,89.87,98.64,0,0,7.07,0,65.79,microRNA 4292 [Source:HGNC Symbol;Acc:HGNC:38348]
ENSG00000105245,NUMBL,9.87,20.19,6.97,11.41,6.92,4.63,0.91,1.23,2.81,2.24,7.18,"NUMB like, endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8061]"
ENSG00000165671,NSD1,3.97,5.81,6.86,4.73,8.06,5.01,0.99,1.36,2.02,0.98,4,nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]
ENSG00000229808,RP11-456P18.2,0.94,1.49,1.95,1.68,1.64,0.97,0,0.46,0.75,0,1.54,NA
ENSG00000172638,EFEMP2,64.91,64.62,21.06,20.55,153.3,56.65,16.24,13.09,43.15,13.85,6.42,EGF containing fibulin like extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]
ENSG00000136937,NCBP1,9.67,13.11,13.61,19.39,16.39,8.52,3.45,7.14,6.08,1.85,11.55,nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]
ENSG00000255310,AF131215.2,20.77,21.16,17.77,16.87,65.07,8.86,5.7,0.03,1.02,0,48.78,NA
ENSG00000081760,AACS,2.03,1.9,2.46,2.38,1.19,3.08,0.57,1.22,2.11,0.13,1.33,acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]
ENSG00000271430,RP3-368A4.5,2.17,2.68,1.41,2.54,3.2,1.65,1.19,2.02,4.42,1.3,1.47,NA
ENSG00000178096,BOLA1,5.44,3.94,3.43,6.52,4.87,7.49,0.86,1.66,2.51,2.3,4.93,bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]
ENSG00000189171,S100A13,1.49,18.3,11.41,18.75,18.32,24.59,4.34,39.12,28.68,4.85,15.18,S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]
ENSG00000267280,RP11-332H18.4,0.04,2.96,1.11,1.45,2.43,2.17,0,0.09,0.17,1.09,0.39,TBX2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50355]
ENSG00000038219,BOD1L1,3.66,10.42,5.15,5.72,14.54,7.33,2.16,2.93,3.77,1.18,10.28,biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]
ENSG00000227973,PIN4P1,1.79,9.56,4.17,2.57,9.9,5.87,0,2.7,11.21,0,6.36,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44193]"
ENSG00000260920,RP1-228H13.5,31.18,15.36,67.5,28.35,28.65,14.87,0,2.58,12.32,8.1,23.69,NA
ENSG00000257073,AC011933.1,168.24,248.55,304.47,252.02,253.94,555.53,8.83,129.91,142.12,11.87,175.41,NA
ENSG00000148719,DNAJB12,7.58,6.96,14.59,6.11,7.03,11.82,0.74,4.34,6.58,1.11,6.62,DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]
ENSG00000106004,HOXA5,23.64,38.77,38.81,49.19,24.83,25.25,10.57,4.95,9.68,3.79,22.57,homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]
ENSG00000124575,HIST1H1D,0.43,5.22,4.86,25.42,0.18,1.6,0,0.16,1.25,0,1.95,"histone cluster 1, H1d [Source:HGNC Symbol;Acc:HGNC:4717]"
ENSG00000272072,CTA-363E19.2,2.9,12.84,8.31,6.79,17.17,6.05,0,3.82,5.78,0,7.69,NA
ENSG00000230621,AC080002.1,1.24,0.62,2.64,2.04,2.26,0.37,0,1.45,2.41,0,1.55,NA
ENSG00000137776,SLTM,4.93,16.55,20.88,13.45,20.5,10.56,12.56,10.32,8.62,13.79,15.46,SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709]
ENSG00000267426,RP11-552F3.12,6.96,12.3,11.93,11.69,11.29,23.99,1.41,6.19,6.41,2.52,9.07,NA
ENSG00000198797,BRINP2,2.22,3.59,2.06,2.5,0.56,0.09,0.8,0.19,0.67,0.09,1.44,BMP/retinoic acid inducible neural specific 2 [Source:HGNC Symbol;Acc:HGNC:13746]
ENSG00000268032,CTB-52I2.4,4.51,4.31,4.76,4.26,4.62,7.41,0,2.96,2.73,2.04,5.12,NA
ENSG00000233838,DPH3P1,9.17,12.57,8.73,12.96,15.88,11.67,5.25,4.01,7.1,0,16.85,diphthamide biosynthesis 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16136]
ENSG00000173230,GOLGB1,6.36,10.49,10.74,8.7,14.57,5.91,1.28,6.02,8.19,1.03,6.67,golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429]
ENSG00000156671,SAMD8,6.36,4.48,10.13,4.98,1.74,8.98,1.54,1.03,2.39,1.62,3.74,sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]
ENSG00000267689,AC010525.5,1.04,0,3.63,2.72,6.82,0.21,0,1.13,1.41,0,1.08,NA
ENSG00000125447,GGA3,11.28,16.31,13.19,16.88,17.41,22.1,3.01,4.32,4.28,1.92,16.37,"golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]"
ENSG00000082996,RNF13,2.04,2.82,4.82,4.33,2.54,4.9,0.67,2.09,0.82,0.56,3.32,ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]
ENSG00000125356,NDUFA1,46.31,62.98,61.82,51.68,46.61,51.63,11.75,65.85,167.05,7.66,26.75,NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683]
ENSG00000261659,LA16c-313D11.12,15.98,20.84,20.46,22.39,32.92,20.45,589.72,3.25,5.8,526.81,28.27,NA
ENSG00000204560,DHX16,13.44,15.94,10.46,19.45,19.31,14.29,2.78,5.23,7.36,4.97,15.05,DEAH-box helicase 16 [Source:HGNC Symbol;Acc:HGNC:2739]
ENSG00000105726,ATP13A1,19.39,47.67,22.11,25.34,35.29,38.2,6.58,4.12,11.63,4.55,37.57,ATPase 13A1 [Source:HGNC Symbol;Acc:HGNC:24215]
ENSG00000205593,DENND6B,8.77,8.04,6.29,3.83,9.42,4.68,0,0.48,2.84,2.2,1.16,DENN domain containing 6B [Source:HGNC Symbol;Acc:HGNC:32690]
ENSG00000170260,ZNF212,10.63,9.52,8.03,14.44,14.58,9.73,0.69,2.06,3.73,0.93,12.99,zinc finger protein 212 [Source:HGNC Symbol;Acc:HGNC:13004]
ENSG00000242338,BMS1P4,0.92,0.68,1.13,0.9,1.18,1.2,0,0.3,0.76,0,1.31,"BMS1, ribosome biogenesis factor pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:23652]"
ENSG00000138646,HERC5,0.08,4.24,0.17,0.82,0.34,0.57,0.23,1.25,2.09,0.61,1.74,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]
ENSG00000198814,GK,0.99,0.72,1.52,1.1,0.53,1.81,0.29,0.4,1.74,0.26,0.66,glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]
ENSG00000214063,TSPAN4,7.18,5.19,1.94,6.05,7.44,4.74,0.23,1.49,2.81,1.83,2.19,tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]
ENSG00000236552,RPL13AP5,576.64,508.59,206.98,479.88,283.39,294.72,131.46,289.81,463.17,141.29,558.35,ribosomal protein L13a pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:23736]
ENSG00000214280,RP11-553K23.2,6.72,12.79,19.52,13.8,14.4,11.79,0,4.54,9.21,14.87,9.33,NA
ENSG00000100095,SEZ6L,30.4,6.13,3.8,1.2,1.19,4.68,0.9,0,0,0.12,1.47,seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]
ENSG00000143537,ADAM15,20.53,34.2,20.1,44.27,47.87,14.8,6.79,14.41,22.81,4.46,35.19,ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]
ENSG00000131188,PRR7,6.9,13.15,8.79,2.79,4.96,19.04,0,1.64,6.87,3.52,1.19,proline rich 7 (synaptic) [Source:HGNC Symbol;Acc:HGNC:28130]
ENSG00000166136,NDUFB8,16.86,8.72,19.53,14.69,11.33,19.56,5.15,8.53,18.82,4.17,11.14,NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]
ENSG00000234819,RP11-336N8.4,1.56,0,0.85,2.79,0.59,1.18,0,2.25,1.05,0,1.94,NA
ENSG00000108294,PSMB3,18.36,21.8,26.52,28.51,28.4,28.47,6.73,17.18,31.13,0.43,19.48,NA
ENSG00000165689,SDCCAG3,34.4,59.63,45.2,43.88,55.61,46.84,10.82,12.97,16.74,6.27,30.96,serologically defined colon cancer antigen 3 [Source:HGNC Symbol;Acc:HGNC:10667]
ENSG00000129472,RAB2B,12.31,12.21,9.18,17.26,7.19,10.34,2.77,7.3,7.07,1.1,9.71,"RAB2B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20246]"
ENSG00000239367,RN7SL477P,1.18,2.84,0.94,2.78,4.41,0.98,0,0.44,0.7,0,2.94,"RNA, 7SL, cytoplasmic 477, pseudogene [Source:HGNC Symbol;Acc:HGNC:46493]"
ENSG00000137133,HINT2,45.85,51.22,74.62,91.8,54.35,82.06,4.62,64.1,60.67,12.41,41.42,histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]
ENSG00000032742,IFT88,0.54,1.05,1.64,1,1.42,0.89,0.18,0.5,0.69,0.48,0.86,intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]
ENSG00000133983,COX16,3.19,6.97,4.76,8.97,2.76,10.08,2.87,6.91,6.34,0.57,7.23,"COX16, cytochrome c oxidase assembly homolog [Source:HGNC Symbol;Acc:HGNC:20213]"
ENSG00000205336,GPR56,17.27,124.11,57.35,34.37,21.41,34.88,9.46,24.08,2.55,3.01,11.01,adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]
ENSG00000260367,RP11-264B17.4,4.9,5.16,3.87,5.75,6.16,7.5,0,0.52,1.34,0,7.53,NA
ENSG00000169241,SLC50A1,16.33,17,10.33,19.3,27.09,11.4,6.3,21.02,38.03,14.11,12.97,solute carrier family 50 member 1 [Source:HGNC Symbol;Acc:HGNC:30657]
ENSG00000233218,SNX18P16,0.74,4.32,7.45,12.04,8.32,2.78,0,2.88,0.64,0,2.53,NA
ENSG00000115042,FAHD2A,6.92,8.02,7.52,15.96,16.73,7.76,4.38,5.58,5.23,1.78,13.37,fumarylacetoacetate hydrolase domain containing 2A [Source:HGNC Symbol;Acc:HGNC:24252]
ENSG00000151461,UPF2,1.5,1.75,3.39,1.29,1.74,1.83,6.56,0.62,1.74,6.84,2.84,UPF2 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:17854]
ENSG00000103319,EEF2K,1.93,4.91,2.71,2.21,1.39,2.13,0.48,2.11,4.4,0.24,2.05,eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]
ENSG00000047315,POLR2B,7.37,18.53,13.75,23.98,21.35,13.93,3.93,7.66,9.6,3.06,16.25,RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]
ENSG00000272859,RP11-352E8.2,0.12,1.58,1.03,0.79,1.51,1.08,0,0,0.67,0,0.91,NA
ENSG00000251322,SHANK3,2.67,1.52,1.46,1.86,2.99,1.5,0.94,0.02,0.06,0.93,2.79,SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]
ENSG00000128617,OPN1SW,1.64,4.22,17.56,6.51,20.2,11.66,0,4.34,6.67,1.5,6.58,"opsin 1 (cone pigments), short-wave-sensitive [Source:HGNC Symbol;Acc:HGNC:1012]"
ENSG00000266282,UBL5P2,4.92,3.09,6.46,2.83,3.2,8.6,0,6.9,7.06,0,6.33,ubiquitin like 5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44640]
ENSG00000071082,RPL31,97.01,54.8,41.72,121.38,83.76,49.38,24.03,48.61,63.24,18.64,50.18,ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]
ENSG00000241790,ENO1P4,39.18,70.7,92.4,49.86,48.25,39.18,12.39,16.64,33.18,11.1,31.99,enolase 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37945]
ENSG00000119599,DCAF4,1.18,2.85,1.28,3.68,1.18,2.11,0,2.56,4,0.3,2.57,DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]
ENSG00000164039,BDH2,0.13,7.27,2.96,5.23,12.06,3.86,0.81,2.87,6.58,2.18,7.74,"3-hydroxybutyrate dehydrogenase, type 2 [Source:HGNC Symbol;Acc:HGNC:32389]"
ENSG00000196456,ZNF775,5.94,5.63,5.49,5.55,5.69,4.82,1.01,0.35,0.9,0.45,6.53,zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501]
ENSG00000075785,RAB7A,18.85,17.34,21.42,14.3,18.48,29.88,5.86,14.9,9.46,5.81,12.82,"RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]"
ENSG00000261342,AC006538.1,3.36,16.89,29.54,7.19,14.27,8.72,0,0.52,2.6,0,6.78,NA
ENSG00000114107,CEP70,1.97,1.86,2.61,2.58,1.01,1.56,0.66,0.91,1.59,0.59,1.11,centrosomal protein 70 [Source:HGNC Symbol;Acc:HGNC:29972]
ENSG00000167723,TRPV3,0.12,0.56,1.08,1.53,0.61,0.42,1.16,0.47,0.76,0.42,6.5,transient receptor potential cation channel subfamily V member 3 [Source:HGNC Symbol;Acc:HGNC:18084]
ENSG00000075043,KCNQ2,9.81,11.58,4.25,5.83,10.96,15.61,1.83,0,0.01,0.45,0.5,potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]
ENSG00000101608,MYL12A,0.47,45.94,77.51,4.88,85.26,47.21,13.26,143.4,76.99,18.67,21.61,myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]
ENSG00000105649,RAB3A,8.31,4.25,4.31,3.95,2.11,7.91,1.52,0.66,1.59,0.68,1.34,"RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]"
ENSG00000207313,SNORA2B,1.23,1.97,2.95,3.87,4.09,3.51,0,2.53,0.36,0,0.92,"small nucleolar RNA, H/ACA box 2B [Source:HGNC Symbol;Acc:HGNC:32585]"
ENSG00000146576,C7orf26,8.17,21.51,20.95,20.64,18.55,13.72,3.25,3.96,8.45,2.12,18.96,chromosome 7 open reading frame 26 [Source:HGNC Symbol;Acc:HGNC:21702]
ENSG00000109689,STIM2,1.36,4.03,1.69,1.17,7.15,2.37,0.56,1.51,0.83,0.21,1.42,stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]
ENSG00000213371,NAP1L1P3,2.79,1.23,3.83,4.27,3.34,2.46,0,2.76,2.41,0,2.86,nucleosome assembly protein 1 like 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38007]
ENSG00000028137,TNFRSF1B,0.2,2.07,0.01,0.04,0.38,0.37,1.44,0.11,1.06,1.41,0,TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]
